id,name,parent_id/id,property_cost_method,property_valuation
product_category_produits_sucres_autres,"Autres produits sucrés ou gras",product_category_produits_sucres,Standard Price,Manual
product_category_biscottes,"Biscottes et pain de mie",product_category_produits_sucres,Standard Price,Manual
product_category_gateaux,"Biscuits et gâteaux",product_category_produits_sucres,Standard Price,Manual
product_category_brioches,"Brioches et pains au lait",product_category_produits_sucres,Standard Price,Manual
product_category_chocolats,"Chocolats",product_category_produits_sucres,Standard Price,Manual
product_category_compotes_sucrees,"Compotes sucrées et fruits au sirop",product_category_produits_sucres,Standard Price,Manual
product_category_confitures,"Confitures et gelées",product_category_produits_sucres,Standard Price,Manual
product_category_desserts,"Desserts glacés",product_category_produits_sucres,Standard Price,Manual
product_category_miel,"Miel",product_category_produits_sucres,Standard Price,Manual
product_category_pates_tartiner,"Pâtes à tartiner",product_category_produits_sucres,Standard Price,Manual
product_category_sucres,"Sucres et édulcorants",product_category_produits_sucres,Standard Price,Manual
product_category_viandes,"Viandes, œufs,  poissons et produits de la mer",product_category_alimentaire,Standard Price,Manual
product_category_fruits_mer,"Fruits de mer",product_category_viandes,Standard Price,Manual
product_category_oeufs,"Œufs",product_category_viandes,Standard Price,Manual
product_category_poissons_conserve,"Poissons en conserve",product_category_viandes,Standard Price,Manual
product_category_poissons_saumur,"Poissons en saumure",product_category_viandes,Standard Price,Manual
product_category_poissons_frais,"Poissons frais",product_category_viandes,Standard Price,Manual
product_category_poissons_surgeles,"Poissons surgelés",product_category_viandes,Standard Price,Manual
product_category_viandes_viandes,"Viandes",product_category_viandes,Standard Price,Manual
product_category_viandes_surgelees,"Viandes surgelées",product_category_viandes,Standard Price,Manual
product_category_hygiene,"Hygiène & Beauté",product_category_non_alimentaire,Standard Price,Manual
product_category_cosmetiques,"Cosmétiques beauté",product_category_hygiene,Standard Price,Manual
product_category_dispositifs_medicaux,"Dispositifs médicaux grand public",product_category_hygiene,Standard Price,Manual
product_category_hygiene_femme,"Hygiène femme",product_category_hygiene,Standard Price,Manual
product_category_hygiene_produits,"Produits d'hygiène",product_category_hygiene,Standard Price,Manual
product_category_maison,"Maison & habitat",product_category_non_alimentaire,Standard Price,Manual
product_category_maison_articles,"Articles de la maison",product_category_maison,Standard Price,Manual
product_category_entretien_materiel,"Matériel d'entretien",product_category_maison,Standard Price,Manual
product_category_entretien_produits,"Produits d'entretien",product_category_maison,Standard Price,Manual
product_category_maison_ustensiles,"Ustensiles de cuisine",product_category_maison,Standard Price,Manual
product_category_non_alimentaire_bebe,"Produits bébé non-alimentaires",product_category_non_alimentaire,Standard Price,Manual
product_category_couches,"Couches",product_category_non_alimentaire_bebe,Standard Price,Manual
product_category_bebe_divers,"Produits bébé divers",product_category_non_alimentaire_bebe,Standard Price,Manual
product_category_non_alimentaire_divers,"Produits non alimentaires divers",product_category_non_alimentaire,Standard Price,Manual
product_category_fournitures,"Fournitures scolaires",product_category_non_alimentaire_divers,Standard Price,Manual
product_category_animaux_produits,"Produits pour animaux",product_category_non_alimentaire_divers,Standard Price,Manual
product_category_sports,"Articles de sports ou loisirs",product_category_non_alimentaire_divers,Standard Price,Manual
product_category_vetements,"Vêtements et accessoires de mode",product_category_non_alimentaire_divers,Standard Price,Manual
